5effca3d-0eac-4fe6-a25f-df44848b0a0f,610,Exton,North America,United States,96.245.114.98,40.041,"40.0409,-75.6374",-75.637,504,Verizon FiOS,19341,Pennsylvania,2014-07-15T16:13:20
d8f2bcca-144f-43b4-a385-5a2d9c9d1563,415,San Francisco,North America,United States,66.202.176.106,37.781,"37.7811,-122.4625",-122.46,807,"Regus Business Center, LLC",94118,California,2014-09-05T21:01:48
307dc0e5-e358-4055-8455-460e568051b0,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T17:00:34
4210575c-370f-492f-9535-903ecbac2b69,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T18:46:32
2657eb84-0a1f-45aa-9450-990c1b355f8b,609,Princeton,North America,United States,173.252.103.3,40.376,"40.3756,-74.6597",-74.66,504,Facebook,08540,New Jersey,2014-08-18T16:55:00
2735c76c-ce4a-4772-b692-7dc58609f004,630,Batavia,North America,United States,162.224.224.13,41.839,"41.8392,-88.3612",-88.361,602,AT&T U-verse,60510,Illinois,2014-09-03T21:17:17
aa8aa1a0-47c6-4152-bcd4-02346ed9090c,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-08-18T16:54:59
b3311835-ea3c-4b60-9693-8801ba451f96,510,Fremont,North America,United States,24.6.47.213,37.516,"37.5155,-121.8962",-121.9,807,Comcast Cable,94539,California,2014-09-11T07:21:06
e82a4e1b-53d8-4fb8-aa71-82349bd64ec6,330,Kensington,North America,United States,173.252.110.112,40.721,"40.7212,-80.948",-80.948,536,Facebook,44427,Ohio,2014-08-25T19:48:08
37f12d76-84ec-45b2-8909-8c048e3f66d2,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T01:16:56
ab444d15-1034-4e76-aacf-e7297259e8a4,330,Kensington,North America,United States,173.252.110.113,40.721,"40.7212,-80.948",-80.948,536,Facebook,44427,Ohio,2014-08-25T19:48:08
