78c55d9e-6216-43b1-ba36-c86e80061825,212,New York,North America,United States,12.192.102.2,40.759,"40.7588,-73.968",-73.968,501,Marriott International,10022,New York,2014-08-27T15:09:34
8d66f0a9-fb34-48fe-933d-a25ca4a83ea2,616,Grand Rapids,North America,United States,76.235.161.246,42.963,"42.9634,-85.6681",-85.668,563,AT&T Internet Services,-,Michigan,2014-08-31T13:39:23
419ead0a-2dfc-4b27-b9e6-8613311d538f,770,Dallas,North America,United States,76.20.212.209,33.992,"33.9922,-84.855",-84.855,524,Comcast Cable,30132,Georgia,2014-08-23T19:14:55
0e5e9fc8-7923-4ab0-b9bf-6de738b2f113,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-13T06:59:15
479236f3-9b3e-4d4b-9d0f-431d8ce82d04,781,Woburn,North America,United States,96.237.174.179,42.49,"42.4897,-71.1595",-71.159,506,Verizon FiOS,01801,Massachusetts,2014-08-12T17:42:27
bd12bacf-22cb-44af-9839-26c729684a9d,,,,,76.20.212.209,0,"0.0,0.0",0,,,,,2014-09-20T02:16:17
3a148545-19f4-4fd6-91d6-2d66ddc7c8f9,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T18:48:22
1e87ba02-bcc4-470e-8898-b3c8afbd5f84,831,Monterey,North America,United States,173.167.114.65,36.6,"36.6002,-121.8947",-121.89,828,Comcast Business Communications,-,California,2014-08-13T16:30:39
6b100b35-b53c-4a83-9f34-978a476e64b9,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T22:51:37
6f746702-5056-4cb3-8805-87c03e8b6c84,630,Batavia,North America,United States,162.224.224.13,41.839,"41.8392,-88.3612",-88.361,602,AT&T U-verse,60510,Illinois,2014-09-06T02:19:25
ed717840-69a4-421c-befb-067762a46804,,,,,96.237.174.179,0,"0.0,0.0",0,,,,,2014-10-15T12:30:23
7ffd92ea-38c7-41dc-ab3d-63b9a262734b,609,Princeton,North America,United States,69.171.248.1,40.376,"40.3756,-74.6597",-74.66,504,Facebook,08540,New Jersey,2014-08-25T19:48:09
af458cf7-2bde-432f-a966-e4b9091da37f,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T22:51:22
c9c92f51-1f14-4702-951b-396cfaebed15,609,Princeton,North America,United States,69.171.248.0,40.376,"40.3756,-74.6597",-74.66,504,Facebook,08540,New Jersey,2014-08-25T19:48:09
ef870573-3c2a-4f3a-a467-7a0177fb742d,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T21:48:50
6cdc677f-a1f5-401a-9717-4b2477bfa95d,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T03:26:33
