1447688871.350147 - smartdata - INFO - Using webserver: localhost:3000
1447688871.350406 - smartdata - INFO - Priming data...
1447688871.350486 - smartdata - INFO - Populating past data...
1447689041.577802 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689046.586910 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689051.594146 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689056.602203 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689061.606878 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689066.610958 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689071.616643 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689076.622950 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689081.630654 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689086.633499 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689091.639263 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689096.646101 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689101.650131 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689106.654075 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689111.660655 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689116.668543 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689121.671671 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689126.679580 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689131.687739 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689136.695945 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689141.704154 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689146.707157 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689151.713550 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689156.720591 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447689161.727419 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
